tx_type,response_time_us,retry_count
transfer,338,0
transfer,282,0
transfer,274,0
transfer,245,0
transfer,130,0
transfer,171,0
transfer,172,0
transfer,109,0
transfer,123,0
transfer,124,0
transfer,178,0
transfer,69,0
transfer,79,0
transfer,117,0
transfer,210,0
transfer,133,0
transfer,68,0
transfer,70,0
transfer,96,0
transfer,94,0
transfer,166,0
transfer,99,0
transfer,66,0
transfer,67,0
transfer,102,0
transfer,158,0
transfer,65,0
transfer,92,0
transfer,157,0
transfer,67,0
transfer,92,0
transfer,167,0
transfer,65,0
transfer,170,0
transfer,135,0
transfer,191,0
transfer,195,0
transfer,75,0
transfer,91,0
transfer,76,0
transfer,66,0
transfer,67,0
transfer,65,0
transfer,61,0
transfer,62,0
transfer,64,0
transfer,68,0
transfer,62,0
transfer,64,0
transfer,62,0
transfer,62,0
transfer,59,0
transfer,64,0
transfer,66,0
transfer,61,0
transfer,63,0
transfer,62,0
transfer,63,0
transfer,61,0
transfer,59,0
transfer,61,0
transfer,64,0
transfer,63,0
transfer,61,0
transfer,70,0
transfer,64,0
transfer,63,0
transfer,61,0
transfer,65,0
transfer,67,0
transfer,61,0
transfer,72,0
transfer,61,0
transfer,61,0
transfer,60,0
transfer,61,0
transfer,59,0
transfer,66,0
transfer,61,0
transfer,100,0
transfer,117,0
transfer,137,0
transfer,107,0
transfer,85,0
transfer,61,0
transfer,61,0
transfer,62,0
transfer,66,0
transfer,68,0
transfer,62,0
transfer,62,0
transfer,60,0
transfer,61,0
transfer,60,0
transfer,62,0
transfer,64,0
transfer,63,0
transfer,66,0
transfer,71,0
transfer,63,0
transfer,63,0
transfer,59,0
transfer,74,0
transfer,63,0
transfer,63,0
transfer,60,0
transfer,61,0
transfer,61,0
transfer,60,0
transfer,62,0
transfer,61,0
transfer,63,0
transfer,62,0
transfer,63,0
transfer,61,0
transfer,62,0
transfer,63,0
transfer,61,0
transfer,61,0
transfer,60,0
transfer,60,0
transfer,62,0
transfer,62,0
transfer,64,0
transfer,64,0
transfer,63,0
transfer,61,0
transfer,61,0
transfer,63,0
transfer,83,0
transfer,68,0
transfer,61,0
transfer,62,0
transfer,61,0
transfer,61,0
transfer,74,0
transfer,70,0
transfer,63,0
transfer,66,0
transfer,59,0
transfer,63,0
transfer,61,0
transfer,60,0
transfer,65,0
transfer,62,0
transfer,60,0
transfer,60,0
transfer,62,0
transfer,65,0
transfer,61,0
transfer,62,0
transfer,59,0
transfer,61,0
transfer,65,0
transfer,62,0
transfer,61,0
transfer,59,0
transfer,61,0
transfer,60,0
transfer,62,0
transfer,73,0
transfer,68,0
transfer,61,0
transfer,61,0
transfer,61,0
transfer,61,0
transfer,61,0
transfer,62,0
transfer,62,0
transfer,67,0
transfer,65,0
transfer,62,0
transfer,60,0
transfer,60,0
transfer,61,0
transfer,66,0
transfer,59,0
transfer,62,0
transfer,68,0
transfer,62,0
transfer,62,0
transfer,60,0
transfer,61,0
transfer,59,0
transfer,59,0
transfer,61,0
transfer,63,0
transfer,61,0
transfer,62,0
transfer,60,0
transfer,62,0
transfer,84,0
transfer,64,0
transfer,64,0
transfer,62,0
transfer,60,0
transfer,61,0
transfer,61,0
transfer,79,0
transfer,88,0
transfer,89,0
transfer,100,0
transfer,97,0
transfer,95,0
transfer,90,0
transfer,88,0
transfer,85,0
transfer,92,0
transfer,90,0
transfer,97,0
transfer,90,0
transfer,90,0
transfer,88,0
transfer,87,0
transfer,91,0
transfer,124,0
transfer,98,0
transfer,91,0
transfer,85,0
transfer,86,0
transfer,91,0
transfer,84,0
transfer,96,0
transfer,86,0
transfer,95,0
transfer,89,0
transfer,95,0
transfer,90,0
transfer,88,0
transfer,87,0
transfer,87,0
transfer,80,0
transfer,81,0
transfer,82,0
transfer,78,0
transfer,84,0
transfer,79,0
transfer,106,0
transfer,80,0
transfer,84,0
transfer,80,0
transfer,79,0
transfer,78,0
transfer,82,0
transfer,79,0
transfer,78,0
transfer,78,0
transfer,78,0
transfer,81,0
transfer,80,0
transfer,80,0
transfer,82,0
transfer,81,0
transfer,80,0
transfer,79,0
transfer,87,0
transfer,80,0
transfer,80,0
transfer,80,0
transfer,92,0
transfer,82,0
transfer,91,0
transfer,77,0
transfer,84,0
transfer,82,0
transfer,84,0
transfer,88,0
transfer,87,0
transfer,87,0
transfer,88,0
transfer,94,0
transfer,93,0
transfer,87,0
transfer,91,0
transfer,91,0
transfer,85,0
transfer,90,0
transfer,89,0
transfer,90,0
transfer,90,0
transfer,87,0
transfer,89,0
transfer,88,0
transfer,100,0
transfer,91,0
transfer,94,0
transfer,94,0
transfer,91,0
transfer,91,0
transfer,91,0
transfer,94,0
transfer,97,0
transfer,91,0
transfer,86,0
transfer,89,0
transfer,91,0
transfer,88,0
transfer,84,0
transfer,87,0
transfer,88,0
transfer,94,0
transfer,88,0
transfer,89,0
transfer,98,0
transfer,107,0
transfer,94,0
transfer,86,0
transfer,93,0
transfer,99,0
transfer,93,0
transfer,91,0
transfer,94,0
transfer,88,0
transfer,91,0
transfer,95,0
transfer,88,0
transfer,93,0
transfer,93,0
transfer,90,0
transfer,96,0
transfer,94,0
transfer,89,0
transfer,91,0
transfer,101,0
transfer,95,0
transfer,105,0
transfer,86,0
transfer,88,0
transfer,94,0
transfer,93,0
transfer,93,0
transfer,92,0
transfer,84,0
transfer,85,0
transfer,83,0
transfer,86,0
transfer,83,0
transfer,97,0
transfer,89,0
transfer,87,0
transfer,88,0
transfer,88,0
transfer,84,0
transfer,102,0
transfer,91,0
transfer,89,0
transfer,83,0
transfer,102,0
transfer,88,0
transfer,84,0
transfer,85,0
transfer,86,0
transfer,87,0
transfer,86,0
transfer,87,0
transfer,85,0
transfer,92,0
transfer,86,0
transfer,83,0
transfer,85,0
transfer,89,0
transfer,86,0
transfer,85,0
transfer,88,0
transfer,84,0
transfer,89,0
transfer,205,0
transfer,27475,0
transfer,231,0
transfer,244,0
transfer,210,0
transfer,203,0
transfer,194,0
transfer,159,0
transfer,125,0
transfer,87,0
transfer,144,0
transfer,62,0
transfer,120,0
transfer,85,0
transfer,73,0
transfer,73,0
transfer,75,0
transfer,76,0
transfer,72,0
transfer,72,0
transfer,74,0
transfer,74,0
transfer,74,0
transfer,77,0
transfer,67,0
transfer,62,0
transfer,79,0
transfer,65,0
transfer,63,0
transfer,63,0
transfer,65,0
transfer,61,0
transfer,65,0
transfer,65,0
transfer,62,0
transfer,61,0
transfer,61,0
transfer,63,0
transfer,61,0
transfer,72,0
transfer,65,0
transfer,62,0
transfer,62,0
transfer,61,0
transfer,64,0
transfer,63,0
transfer,61,0
transfer,67,0
transfer,63,0
transfer,60,0
transfer,62,0
transfer,64,0
transfer,69,0
transfer,68,0
transfer,62,0
transfer,70,0
transfer,75,0
transfer,63,0
transfer,64,0
transfer,63,0
transfer,61,0
transfer,63,0
transfer,65,0
transfer,61,0
transfer,60,0
transfer,62,0
transfer,60,0
transfer,60,0
transfer,64,0
transfer,62,0
transfer,62,0
transfer,61,0
transfer,68,0
transfer,67,0
transfer,62,0
transfer,60,0
transfer,59,0
transfer,62,0
transfer,68,0
transfer,64,0
transfer,60,0
transfer,61,0
transfer,65,0
transfer,62,0
transfer,65,0
transfer,63,0
transfer,66,0
transfer,75,0
transfer,66,0
transfer,65,0
transfer,68,0
transfer,63,0
transfer,64,0
transfer,60,0
transfer,61,0
transfer,68,0
transfer,60,0
transfer,62,0
transfer,64,0
transfer,64,0
transfer,62,0
transfer,62,0
transfer,64,0
transfer,63,0
transfer,62,0
transfer,63,0
transfer,74,0
transfer,63,0
transfer,61,0
transfer,69,0
transfer,64,0
transfer,62,0
transfer,61,0
transfer,64,0
transfer,62,0
transfer,62,0
transfer,62,0
transfer,62,0
transfer,79,0
transfer,66,0
transfer,67,0
transfer,61,0
transfer,65,0
transfer,66,0
transfer,60,0
transfer,62,0
transfer,62,0
transfer,64,0
transfer,60,0
transfer,61,0
transfer,61,0
transfer,63,0
transfer,62,0
transfer,62,0
transfer,63,0
transfer,62,0
transfer,60,0
transfer,60,0
transfer,60,0
transfer,64,0
transfer,74,0
transfer,62,0
transfer,62,0
transfer,63,0
transfer,61,0
transfer,61,0
transfer,63,0
transfer,64,0
transfer,74,0
transfer,63,0
transfer,64,0
transfer,61,0
transfer,61,0
transfer,70,0
transfer,67,0
transfer,61,0
transfer,63,0
transfer,62,0
transfer,60,0
transfer,61,0
transfer,60,0
transfer,68,0
transfer,63,0
transfer,62,0
transfer,64,0
transfer,62,0
transfer,59,0
transfer,60,0
transfer,61,0
transfer,70,0
transfer,64,0
transfer,66,0
transfer,62,0
transfer,69,0
transfer,74,0
transfer,67,0
transfer,61,0
transfer,62,0
transfer,64,0
transfer,73,0
transfer,62,0
transfer,66,0
transfer,63,0
transfer,61,0
transfer,62,0
transfer,66,0
transfer,61,0
transfer,62,0
transfer,61,0
transfer,60,0
transfer,61,0
transfer,122,0
transfer,62,0
transfer,63,0
transfer,61,0
transfer,61,0
transfer,62,0
transfer,60,0
transfer,63,0
transfer,62,0
transfer,61,0
transfer,61,0
transfer,62,0
transfer,61,0
transfer,60,0
transfer,65,0
transfer,66,0
transfer,73,0
transfer,63,0
transfer,74,0
transfer,64,0
transfer,62,0
transfer,63,0
transfer,60,0
transfer,63,0
transfer,62,0
transfer,61,0
transfer,63,0
transfer,62,0
transfer,61,0
transfer,65,0
transfer,60,0
transfer,61,0
transfer,62,0
transfer,59,0
transfer,61,0
transfer,61,0
transfer,60,0
transfer,64,0
transfer,62,0
transfer,62,0
transfer,61,0
transfer,61,0
transfer,59,0
transfer,61,0
transfer,60,0
transfer,63,0
transfer,62,0
transfer,64,0
transfer,61,0
transfer,72,0
transfer,64,0
transfer,62,0
transfer,63,0
transfer,61,0
transfer,61,0
transfer,64,0
transfer,61,0
transfer,60,0
transfer,59,0
transfer,61,0
transfer,62,0
transfer,62,0
transfer,62,0
transfer,62,0
transfer,60,0
transfer,63,0
transfer,59,0
transfer,65,0
transfer,63,0
transfer,63,0
transfer,61,0
transfer,62,0
transfer,63,0
transfer,61,0
transfer,62,0
transfer,60,0
transfer,63,0
transfer,62,0
transfer,62,0
transfer,64,0
transfer,69,0
transfer,64,0
transfer,62,0
transfer,65,0
transfer,65,0
transfer,63,0
transfer,65,0
transfer,63,0
transfer,64,0
transfer,62,0
transfer,58,0
transfer,64,0
transfer,63,0
transfer,63,0
transfer,62,0
transfer,59,0
transfer,62,0
transfer,61,0
transfer,59,0
transfer,63,0
transfer,60,0
transfer,63,0
transfer,66,0
transfer,62,0
transfer,62,0
transfer,62,0
transfer,62,0
transfer,63,0
transfer,61,0
transfer,64,0
transfer,62,0
transfer,73,0
transfer,70,0
transfer,61,0
transfer,62,0
transfer,65,0
transfer,63,0
transfer,70,0
transfer,66,0
transfer,62,0
transfer,61,0
transfer,64,0
transfer,62,0
transfer,62,0
transfer,62,0
transfer,65,0
transfer,76,0
transfer,46687,0
transfer,126,0
transfer,47794,0
transfer,65,0
transfer,135,0
transfer,85,0
transfer,74,0
transfer,74,0
transfer,76,0
transfer,75,0
transfer,74,0
transfer,75,0
transfer,78,0
transfer,79,0
transfer,76,0
transfer,76,0
transfer,75,0
transfer,75,0
transfer,76,0
transfer,76,0
transfer,73,0
transfer,73,0
transfer,73,0
transfer,73,0
transfer,86,0
transfer,86,0
transfer,64,0
transfer,61,0
transfer,64,0
transfer,62,0
transfer,61,0
transfer,62,0
transfer,59,0
transfer,63,0
transfer,78,0
transfer,61,0
transfer,59,0
transfer,61,0
transfer,62,0
transfer,60,0
transfer,61,0
transfer,60,0
transfer,61,0
transfer,61,0
transfer,63,0
transfer,66,0
transfer,63,0
transfer,61,0
transfer,60,0
transfer,59,0
transfer,126,0
transfer,93,0
transfer,62,0
transfer,62,0
transfer,60,0
transfer,63,0
transfer,59,0
transfer,60,0
transfer,89,0
transfer,122,0
transfer,61,0
transfer,68,0
transfer,72,0
transfer,62,0
transfer,70,0
transfer,62,0
transfer,64,0
transfer,62,0
transfer,62,0
transfer,62,0
transfer,61,0
transfer,60,0
transfer,62,0
transfer,62,0
transfer,63,0
transfer,61,0
transfer,61,0
transfer,64,0
transfer,61,0
transfer,60,0
transfer,61,0
transfer,61,0
transfer,61,0
transfer,60,0
transfer,61,0
transfer,61,0
transfer,61,0
transfer,61,0
transfer,60,0
transfer,62,0
transfer,61,0
transfer,66,0
transfer,67,0
transfer,61,0
transfer,70,0
transfer,60,0
transfer,61,0
transfer,62,0
transfer,61,0
transfer,60,0
transfer,61,0
transfer,61,0
transfer,61,0
transfer,60,0
transfer,61,0
transfer,60,0
transfer,64,0
transfer,59,0
transfer,62,0
transfer,61,0
transfer,61,0
transfer,61,0
transfer,60,0
transfer,134,0
transfer,64,0
transfer,60,0
transfer,80,0
transfer,70,0
transfer,68,0
transfer,61,0
transfer,65,0
transfer,63,0
transfer,64,0
transfer,68,0
transfer,64,0
transfer,70,0
transfer,62,0
transfer,61,0
transfer,62,0
transfer,62,0
transfer,64,0
transfer,62,0
transfer,63,0
transfer,59,0
transfer,61,0
transfer,63,0
transfer,61,0
transfer,61,0
transfer,64,0
transfer,61,0
transfer,61,0
transfer,60,0
transfer,60,0
transfer,60,0
transfer,60,0
transfer,62,0
transfer,63,0
transfer,61,0
transfer,60,0
transfer,61,0
transfer,62,0
transfer,61,0
transfer,62,0
transfer,61,0
transfer,60,0
transfer,117,0
transfer,97,0
transfer,61,0
transfer,65,0
transfer,64,0
transfer,60,0
transfer,61,0
transfer,61,0
transfer,76,0
transfer,115,0
transfer,64,0
transfer,64,0
transfer,61,0
transfer,60,0
transfer,68,0
transfer,65,0
transfer,64,0
transfer,60,0
transfer,60,0
transfer,63,0
transfer,62,0
transfer,60,0
transfer,65,0
transfer,62,0
transfer,64,0
transfer,61,0
transfer,61,0
transfer,60,0
transfer,61,0
transfer,71,0
transfer,62,0
transfer,62,0
transfer,62,0
transfer,63,0
transfer,64,0
transfer,134,0
transfer,72,0
transfer,67,0
transfer,66,0
transfer,60,0
transfer,63,0
transfer,152,0
transfer,64,0
transfer,62,0
transfer,62,0
transfer,66,0
transfer,70,0
transfer,73,0
transfer,72,0
transfer,65,0
transfer,69,0
transfer,61,0
transfer,66,0
transfer,64,0
transfer,62,0
transfer,63,0
transfer,74,0
transfer,68,0
transfer,62,0
transfer,63,0
transfer,64,0
transfer,62,0
transfer,62,0
transfer,62,0
transfer,61,0
transfer,62,0
transfer,63,0
transfer,63,0
transfer,62,0
transfer,63,0
transfer,69,0
transfer,67,0
transfer,64,0
transfer,62,0
transfer,62,0
transfer,62,0
transfer,59,0
transfer,61,0
transfer,62,0
transfer,59,0
transfer,135,0
transfer,64,0
transfer,61,0
transfer,63,0
transfer,63,0
transfer,62,0
transfer,71,0
transfer,63,0
transfer,62,0
transfer,64,0
transfer,62,0
transfer,59,0
transfer,62,0
transfer,61,0
transfer,62,0
transfer,63,0
transfer,63,0
transfer,61,0
transfer,61,0
transfer,61,0
transfer,61,0
transfer,112,0
transfer,99,0
transfer,62,0
transfer,70,0
transfer,64,0
transfer,63,0
transfer,60,0
transfer,61,0
transfer,60,0
transfer,129,0
transfer,64,0
transfer,66,0
transfer,63,0
transfer,61,0
transfer,69,0
transfer,62,0
transfer,69,0
transfer,61,0
transfer,62,0
transfer,60,0
transfer,62,0
transfer,62,0
transfer,66,0
transfer,63,0
transfer,61,0
transfer,62,0
transfer,61,0
transfer,64,0
transfer,65,0
transfer,60,0
transfer,59,0
transfer,62,0
transfer,60,0
transfer,61,0
transfer,63,0
transfer,60,0
transfer,68,0
transfer,64,0
transfer,60,0
transfer,65,0
transfer,63,0
transfer,67,0
transfer,61,0
transfer,62,0
transfer,63,0
transfer,72,0
transfer,64,0
transfer,61,0
transfer,61,0
transfer,62,0
transfer,62,0
transfer,66,0
transfer,59,0
transfer,65,0
transfer,63,0
transfer,63,0
transfer,61,0
transfer,61,0
transfer,60,0
transfer,61,0
